author	affiliation	abstract_id	role	session_id	presenter
Sara Daub	Hertie School, Germany	937	p	NA	y
Dafni Kalatzi	University of Essex, United Kingdom	934	p	NA	n
Yun Jung Yang	Waseda University, Japan	934	p	NA	y
António Valentim	Yale University, USA	933	p	NA	n
Johanna Yr Bjarnadottir	Humboldt-Universität zu Berlin, Germany	933	p	NA	y
Violeta Haas	Humboldt-Universität zu Berlin, Germany	933	p	NA	n
Gizem Arikan	Trinity College Dublin, Ireland	930	p	NA	y
Judit Ralbovszki	Lund University, Sweden	930	p	NA	n
Benjamin Lauderdale	University College London, United Kingdom	928	p	NA	y
Jack Blumenau	University College London, United Kingdom	928	p	NA	y
Filsinger Maximilian	University of Bern, Switzerland	927	p	NA	y
Steffen Wamsler	Leibniz Institute for Educational Trajectories, Germany	927	p	NA	y
Haakon Gjerløw	Peace Research Institute Oslo, Norway	926	p	NA	y
Øyvind Stiansen	University of Oslo, Norway	926	p	NA	n
Francesco Colombo	Aarhus University, Denmark	925	p	NA	y
Roland Kappe	University College London, United Kingdom	923	p	NA	y
Patrick Clasen	University of Duisburg-Essen, Germany	922	p	NA	y
Brigitte Seim	UNC Chapel Hill, USA	921	p	NA	n
Johan Ahlback	LSE, United Kingdom	921	p	NA	n
Alejandro Tirado	UC3M, Spain	920	p	NA	y
Marta Fraile	IPP (CSIC), Spain	920	p	NA	y
Paula Zuluaga	UAB, Spain	920	p	NA	n
Alexander Trubowitz	Yale University, USA	919	p	NA	n
Kattalina Berriochoa	University of Konstanz, Germany	919	p	NA	y
Nils Röper	University of Konstanz, Germany	919	p	NA	n
Junichi Hirano	University of Essex, United Kingdom	917	p	NA	y
Costin Ciobanu	Royal Holloway, University of London, United Kingdom	916	p	NA	y
Miriam Sorace	University of Kent, United Kingdom	915	p	NA	y
Natascha Zaun	London School of Economics, United Kingdom	915	p	NA	n
Irene Rodríguez	Universitat Pompeu Fabra, Spain	913	p	NA	y
Homero Gil de Zúñiga	University of Salamanca, Spain	912	p	NA	n
Hugo Marcos-Marne	University of Salamanca, Spain	912	p	NA	y
Isabel Ingunzo	University of Salamanca, Spain	912	p	NA	n
Ruijie Liu	University of Oxford, United Kingdom	910	p	NA	y
Julio Amador	Imperial College London, United Kingdom	909	p	NA	n
Miriam Sorace	University of Kent, United Kingdom	909	p	NA	y
Jacob Aars	University of Bergen, Norway	902	p	NA	n
Jana Belschner	University of Bergen, Norway	902	p	NA	y
Jo Saglie	Institute for Social Research Oslo, Norway	902	p	NA	n
Francesco Colombo	Aarhus University, Denmark	900	p	NA	y
Kim Sønderskov	Aarhus University, Denmark	900	p	NA	n
Chris Anderson	LSE, United Kingdom	90	p	NA	n
Fernando J Sánchez Monforte	Nuffield College, United Kingdom	899	p	NA	y
Jana Belschner	University of Bergen, Norway	898	p	NA	y
Michael A. Strebel	University of Lausanne, Switzerland	892	p	NA	n
Barton Lee	ETH Zurich, Switzerland	889	p	NA	n
Pedro Pablo Pérez Velasco	ETH Zurich, Switzerland	889	p	NA	y
David Karpa	University of Bremen, Germany	888	p	NA	y
Michael Rochlitz	University of Bremen, Germany	888	p	NA	n
Nicolai Berk	Dynamics RTG & Humboldt University Berlin, Germany	887	p	NA	y
Cornelius Erfort	Humboldt-Universität zu Berlin, Germany	882	p	NA	y
Lukas F. Stoetzer	Universität Witten/Herdecke, Germany	882	p	NA	n
Aleksandra Khokhlova	Leiden University, Netherlands	88	p	NA	n
Anastasia Ershova	Leiden University, Netherlands	88	p	NA	y
Nikoleta Yordanova	Leiden University, Netherlands	88	p	NA	n
Jonathan Phillips	Leiden University, Netherlands	879	p	NA	y
Soledad Artiz Prillaman	Stanford University, USA	879	p	NA	n
Eri Bertsou	University of St. Gallen, Switzerland. St Gallen, Switzerland. University of St.Gallen, Switzerland	878	p	NA	y
Hannah Werner	KU Leuven, Belgium	878	p	NA	n
Sofie Marien	KU Leuven, Belgium	878	p	NA	n
Christina-Marie Juen	TU Darmstadt, Germany	877	p	NA	y
Jeffrey Ziegler	Trinity College Dublin, Ireland	876	p	NA	n
Michael Bechtel	University of Cologne, Germany	876	p	NA	y
Clara Fauli Molas	Trinity College Dublin, Ireland	875	p	NA	y
Anna Petherick	University of Oxford, United Kingdom	874	p	NA	y
Andrea Vaccaro	University of Oxford, United Kingdom	872	p	NA	y
Angelo Panaro	University of Milan, Italy	872	p	NA	n
Rasmus Tue Pedersen	Danish Center for Social Science Research (VIVE), Denmark	870	p	NA	n
Guillermo Rosas	Washington University in St. Louis, USA	869	p	NA	y
Michael Bechtel	University of Cologne, Germany	869	p	NA	y
Taishi Muraoka	Academia Sinica, Taiwan	869	p	NA	n
Johanna Beddig	University of Oxford, United Kingdom	867	p	NA	y
Camille Landesvatter	Mannheim Centre for European Social Research, Germany	866	p	NA	n
Paul Bauer	Mannheim Centre for European Social Research, Germany	866	p	NA	y
Burcu Savun	University of Pittsburgh, USA	865	p	NA	n
Heidrun Bohnet	University for Continuining Education Krems, Austria	865	p	NA	y
Frédéric Varone	University of Geneva, Switzerland	863	p	NA	n
Nicole Lemke	University of Lausanne, Switzerland	863	p	NA	y
Philipp Trein	University of Lausanne, Switzerland	863	p	NA	n
Alain Schläpfer	Stanford University, USA	862	p	NA	y
Gabriele Magni	Loyola Marymount University, USA	859	p	NA	y
Zoila Ponce de León	Washington and Lee University, USA	859	p	NA	y
Ranjit Lall	University of Oxford, United Kingdom	855	p	NA	y
Giacomo Lemoli	New York University, USA	853	p	NA	y
Renu Singh	Bocconi University, Italy	852	p	NA	y
Renu Singh	Bocconi University, Italy	851	p	NA	y
Henrik Andersson	Uppsala University, Sweden	850	p	NA	n
Karl-Oskar Lindgren	Uppsala University, Sweden	850	p	NA	n
Linuz Aggeborn	Uppsala University, Sweden	850	p	NA	n
Jae-Jae Spoon	University of Pittsburgh, USA	849	p	NA	y
Matthias Avina	University of Pittsburgh, USA	849	p	NA	n
Laron Williams	University of Missouri, USA	848	p	NA	y
Sebastian Juhl	SAP, Germany	848	p	NA	n
Jana Lipps	ETH Zurich, Switzerland	847	p	NA	y
Jona de Jong	European University Institute, Italy	846	p	NA	y
Elisabetta Girardi	University of Mannheim, Germany	845	p	NA	y
Nicola Palma	University of Bologna, Italy	845	p	NA	n
Krzysztof Krakowski	Collegio Carlo Alberto, Italy	844	p	NA	y
Max Schaub	University of Hamburg, Germany	844	p	NA	n
Jona de Jong	European University Institute, Italy	841	p	NA	y
Ari Ray	University of Geneva, Switzerland	84	p	NA	y
Daniel Weitzel	Colorado State University, USA	836	p	NA	y
Nikandros Ioannidis	Pompeu Fabra University, Spain	835	p	NA	y
Yiannos Katsourides	University of Nicosia, Cyprus	835	p	NA	n
Katjana Gattermann	University of Amsterdam, Netherlands	831	p	NA	y
Thomas Zittel	Goethe-University Frankfurt, Germany	831	p	NA	n
Rebecca Cordell	University of Texas at Dallas, USA	830	p	NA	y
Calvin Thrall	Princeton University, USA	829	p	NA	y
Daniel Berliner	London School of Economics, United Kingdom	829	p	NA	y
Nikhil Kalyanpur	London School of Economics, United Kingdom	829	p	NA	y
Jerome Schafer	LMU Munich, Germany	828	p	NA	n
Salomo Hirvonen	University of Turku, Finland	828	p	NA	y
Javier Padilla	Cuny, Graduate Center, USA	825	p	NA	y
Manuel Sola	European University Institute, Italy	824	p	NA	y
Javier Padilla	Cuny, Graduate Center, USA	823	p	NA	y
Andreas Dür	University of Salzburg, Austria	820	p	NA	n
Stefan Hee	University of Salzburg, Austria	820	p	NA	y
Matthias Haslberger	University of St. Gallen, Switzerland. University of St Gallen, Switzerland	817	p	NA	y
Niccolo Durazzi	University of Edinburgh, United Kingdom	817	p	NA	n
Patrick Emmenegger	University of St. Gallen, Switzerland	817	p	NA	n
Ipek Cineli	European University Institute, Italy	816	p	NA	y
Luis Bosshart	LSE, United Kingdom	814	p	NA	y
Paulina Garcia Corral	Hertie School, Germany	813	p	NA	y
Jori Korpershoek	Erasmus University Rotterdam, Netherlands	810	p	NA	y
Kyle Marquardt	University of Bergen, Norway	808	p	NA	y
Anthony Anderson	University of Strathclyde, United Kingdom	806	p	NA	n
David Robertson	University of Strathclyde, United Kingdom	806	p	NA	n
Mark Shephard	University of Strathclyde, United Kingdom	806	p	NA	y
Narisong Huhe	University of Strathclyde, United Kingdom	806	p	NA	y
Feng HAN	University of Edinburgh, United Kingdom	805	p	NA	y
Guillem Amatller	Universitat Pompeu Fabra, Spain	804	p	NA	y
Fabio Franchino	Università degli Studi Milano, Italy	801	p	NA	y
Giovanni Pagano	Università degli Studi Milano, Italy	801	p	NA	n
Marta Migliorati	University of Malta, Malta	801	p	NA	y
Ferran Martínez i Coma	Griffith University, Australia	8	p	NA	n
Ignacio Lago	Universitat Pompeu Fabra, Spain	8	p	NA	y
Jay Krehbiel	West Virginia University, USA	798	p	NA	y
Oliver Rittmann	University of Mannheim, Germany	794	p	NA	y
Ivo Bantel	University of Zurich, Switzerland	793	p	NA	n
Marc S. Jacob	ETH Zurich, Switzerland	793	p	NA	n
Oliver Rittmann	University of Mannheim, Germany	792	p	NA	y
Fabrizio Gilardi	University of Zurich, Switzerland	790	p	NA	y
Maël Kubli	University of Zurich, Switzerland	790	p	NA	y
Meysam Alizadeh	University of Zurich, Switzerland	790	p	NA	y
Natalia Umansky	University of Zurich, Switzerland	790	p	NA	y
Jochem Vanagt	KU Leuven, Belgium	789	p	NA	n
Luana Russo	Maastricht University, Netherlands	789	p	NA	y
Sofie Marien	KU Leuven, Belgium	789	p	NA	n
Konstantinos Theocharopoulos	University of Siegen, Germany	787	p	NA	y
Lea Kaftan	Witten/Herdecke University, Germany	785	p	NA	n
Christopher Kam	University of British Columbia, Canada	783	p	NA	n
Jaakko Meriläinen	ITAM, Mexico	783	p	NA	n
Torun Dewan	London School of Economics and Political Science, United Kingdom	783	p	NA	n
James Tilley	University of Oxford, United Kingdom	782	p	NA	n
Gabriella Skitalinska	CRC 1342, University of Bremen, Germany	781	p	NA	n
Hannes Salzmann	CRC 1342, University of Bremen, Germany	781	p	NA	y
Henning Wachsmuth	Institute of Artificial Intelligence, Leibniz University Hannover, Germany	781	p	NA	n
Viktoria Jansesberger	University of Konstanz, Germany	780	p	NA	y
Alberto López	UV Amsterdam, Netherlands	778	p	NA	n
Leire Rincón	Universitat Autònoma de Barcelona, Spain	778	p	NA	y
Briitta van Staalduinen	Leiden University, Netherlands	776	p	NA	y
Delia Zollinger	University of Zurich, Switzerland	776	p	NA	y
Anthony Zito	Newcastle University, United Kingdom	774	p	NA	n
Brian Boyle	Newcastle University, United Kingdom	774	p	NA	n
Sebastian Popa	Newcastle University, United Kingdom	774	p	NA	y
Zoltán Fazekas	Copenhagen Business School, Denmark	774	p	NA	n
Emma Turkenburg	KU Leuven, Belgium	772	p	NA	n
Lisa Janssen	Ghent University, Belgium	772	p	NA	y
Andreu Casas	Vrije Universiteit Amsterdam, Netherlands	771	p	NA	y
Mehdi Zamani	Vrije Universiteit Amsterdam, Netherlands	771	p	NA	n
Vasileios Adamidis	Nottingham Trent University, United Kingdom	77	p	NA	y
Leandro De Magalhaes	Bristol University, United Kingdom	768	p	NA	y
Salomo Hirvonen	University of Turku, Finland	768	p	NA	n
Jeyhun Alizade	Princeton University, USA	761	p	NA	y
Friederike Luise Kelle	German Federal Office for the Safety of Nucelar Waste Management, Germany	757	p	NA	y
Christina Gahn	University of Vienna, Austria	756	p	NA	y
Jörg Haßler	LMU München, Germany	756	p	NA	n
Simon Kruschinski	Johannes Gutenberg- Universität Mainz, Germany	756	p	NA	n
Giorgia Borgnino	University of Bologna, Italy	755	p	NA	y
David Willumsen	University of Innsbruck, Austria	754	p	NA	y
Patrik Öhberg	University of Gothenburg, Sweden	754	p	NA	n
Ashrakat Elshehawy	University of Oxford, United Kingdom	753	p	NA	y
Mohamed Saleh	London School of Economics and Political Science, United Kingdom	753	p	NA	n
Andrew McNeil	LSE, United Kingdom	752	p	NA	y
Patrick Sturgis	LSE, United Kingdom	752	p	NA	n
Bernhard Reinsberg	University of Glasgow, United Kingdom	751	p	NA	y
Martin Steinwand	University of Essex, United Kingdom	751	p	NA	n
Jakob Jonathan Kemper	Universität Duisburg-Essen, Germany	750	p	NA	y
Jan Karem Höhne	Universität Duisburg-Essen, Germany	750	p	NA	n
David Willumsen	University of Innsbruck, Austria	748	p	NA	y
Reto Bürgisser	University of Zurich, Switzerland	747	p	NA	y
Silja Häusermann	University of Zurich, Switzerland	747	p	NA	n
Thomas Kurer	University of Zurich, Switzerland	747	p	NA	n
Mariana Alvarado	University of Geneva, Switzerland	742	p	NA	y
Paula Hoffmeyer	University of Geneva, Switzerland	742	p	NA	n
Sandra Lavenex	University of Geneva, Switzerland	742	p	NA	n
Love Christensen	Aarhus University, Denmark	740	p	NA	n
Pablo Fernández-Vázquez	Carlos III University, Spain	740	p	NA	y
Christoph Ivanusch	WZB Berlin Social Science Center, Germany	739	p	NA	y
Marcelo Jenny	University of Innsbruck, Austria	739	p	NA	n
Victor Ellenbroek	European University Institute, Italy	735	p	NA	y
Evelyne Hübscher	Central European University, Austria	734	p	NA	n
Thomas Sattler	University of Geneva, Switzerland	734	p	NA	y
Daniel Geissel	German Institute for Global and Area Studies, Germany	733	p	NA	y
Matthias Basedau	German Institute for Global and Area Studies, Germany	733	p	NA	y
Mora Deitch	Institute for National Security Studies, Tel Aviv University, Israel	733	p	NA	y
Mirko Wegemann	European University Institute, Italy	729	p	NA	y
Roi Zur	University of Essex, United Kingdom	727	p	NA	y
Florian Stoeckel	University of Exeter, United Kingdom	726	p	NA	n
Joseph Phillips	University of Kent, United Kingdom	726	p	NA	y
Dustin Tingley	Harvard, USA	722	p	NA	n
Federica Genovese	University of Essex, United Kingdom	722	p	NA	y
Nikhar Gaikwad	Columbia University, USA	722	p	NA	n
Jordi Muñoz	University of Barcelona, Spain	721	p	NA	y
Charles Efferson	University of Lausanne, Switzerland	719	p	NA	n
Elke Weber	Princeton University, USA	719	p	NA	n
Sara Constantino	Princeton University, USA	719	p	NA	n
Sonja Vogt	University of Lausanne, Switzerland	719	p	NA	y
Sonke Ehret	University of Lausanne, Switzerland	719	p	NA	n
Ida Hjermitslev	University of Vienna, Austria	718	p	NA	n
Markus Wagner	University of Vienna, Austria	718	p	NA	y
Alina Vrânceanu	Universitat Pompeu Fabra, Spain	716	p	NA	y
Josep Comellas	Universitat Pompeu Fabra, Spain	716	p	NA	n
Mariano Torcal	Universitat Pompeu Fabra, Spain	716	p	NA	n
Markus Wagner	University of Vienna, Austria	715	p	NA	n
David Bokhorst	European University Institute, Italy	713	p	NA	n
Magnus Schoeller	University of Vienna, Austria	713	p	NA	y
Alina Zumbrunn	University of Bern, Switzerland	712	p	NA	y
Alexander Baturo	Dublin City University, Ireland	711	p	NA	n
Jakob Tolstrup	Aarhus University, Denmark	711	p	NA	y
Nikita Khokhlov	Dublin City University, Ireland	711	p	NA	n
Felix Jäger	MZES, University of Mannheim, Germany	710	p	NA	y
Sandra Morgenstern	MZES, University of Mannheim, Germany	710	p	NA	n
Neeraj Prasad	University of Amsterdam, Netherlands	708	p	NA	y
Ursula Daxecker	University of Amsterdam, Netherlands	708	p	NA	n
Asli Ceren Cinar	LSE, United Kingdom	707	p	NA	y
Florian Foos	LSE, United Kingdom	707	p	NA	n
Frederik Ferié	University of Munster, Germany	707	p	NA	n
Alice Iannantuoni	University of Geneva, Switzerland	703	p	NA	n
Daniela Donno	University of Oklahoma, USA	703	p	NA	y
Katharina Fleiner	University of Geneva, Switzerland	703	p	NA	n
Simone Dietrich	University of Geneva, Switzerland	703	p	NA	n
Carolina Plescia	University of Vienna, Austria	702	p	NA	n
María Belén Abdala	University of Vienna, Austria	702	p	NA	y
Ming Boyer	University of Vienna, Austria	702	p	NA	n
Mia Costa	Dartmouth, USA	70	p	NA	n
Miguel Pereira	London School of Economics and Political Science, United Kingdom	70	p	NA	y
Dan Keith	University of York, United Kingdom	697	p	NA	n
Liisa Talving	University of Tartu, Estonia	697	p	NA	n
Guillermo Toral	IE University, Spain	696	p	NA	n
Pablo Fernandez-Vazquez	Carlos III University, Spain	696	p	NA	y
Irene Rodríguez	Universitat Pompeu Fabra, Spain	695	p	NA	y
Michal Krawczyk	University of Warsaw, Poland	695	p	NA	n
Theresa Kuhn	University of Amsterdam, Netherlands	695	p	NA	n
Jasmin Rath	University of Cologne, Germany	694	p	NA	y
Mark Shephard	University of Strathclyde, United Kingdom	693	p	NA	y
Murat Yildrim	University of Stavanger, Norway	693	p	NA	n
Giuseppe Montalbano	University of Luxembourg, Luxembourg	692	p	NA	y
Lindsay Flynn	University of Luxembourg, Luxembourg	692	p	NA	n
Christoph Ivanusch	WZB Berlin Social Science Center, Germany	691	p	NA	y
Felix Haass	University of Oslo, Norway	69	p	NA	y
Winnie Xia	University of Essex, United Kingdom	688	p	NA	y
Jochen Rehmert	University of Zurich, Switzerland	683	p	NA	y
César Fuster Llamazares	University of Oxford, United Kingdom	682	p	NA	y
Awenig Marié	Université Libre de Bruxelles, Belgium	681	p	NA	y
Nathalie Brack	Université Libre de Bruxelles, Belgium	681	p	NA	n
Jonas Elis	University of Duisburg-Essen, Germany	679	p	NA	n
Sabrina Jasmin Mayer	University of Bamberg, Germany	679	p	NA	y
Sofia Breitenstein	Universitat de Barcelona, Spain	677	p	NA	n
Philipp Kerler	University of Zurich, Switzerland	676	p	NA	y
Victor Araújo	University of Zurich, Switzerland	676	p	NA	n
Jonas Elis	University of Duisburg-Essen, Germany	674	p	NA	n
Sabrina Jasmin Mayer	University of Bamberg, Germany	674	p	NA	n
Dan Bogart	UC Irvine, USA	672	p	NA	n
Jonathan Chapman	University of Bologna, Italy	672	p	NA	y
Nuno Palma	University of Manchester, United Kingdom	672	p	NA	n
Tim Besley	London School of Economics, United Kingdom	672	p	NA	n
Geoffrey Evans	Oxford University, United Kingdom	671	p	NA	n
Jonas Elis	University of Duisburg-Essen, Germany	670	p	NA	y
Ida Hjermitslev	University of Vienna, Austria	667	p	NA	n
Mathias W. Tromborg	Aarhus University, Denmark	667	p	NA	n
Svenja Krauss	University of Vienna, Austria	667	p	NA	y
Andy Harris	New York University Abu Dhabi, UAE	664	p	NA	y
Christian Oswald	Bundeswehr University Munich, Germany	662	p	NA	y
Christoph Dworschak	University of York, United Kingdom	662	p	NA	n
Marcella H. Morris	Emory University, USA	662	p	NA	n
Dennis Kolcava	ETH Zurich, Switzerland	661	p	NA	n
E.Keith Smith	ETH Zurich, Switzerland	661	p	NA	y
Matthew Digiuseppe	Leiden University, Netherlands	660	p	NA	y
António Valentim	Yale University, USA	659	p	NA	y
Martin Ejnar Hansen	Brunel University London, United Kingdom	658	p	NA	y
António Valentim	Yale University, USA	657	p	NA	y
Jae-Jae Spoon	University of Pittsburgh, USA	657	p	NA	y
Doron Ella	University of Haifa, Israel	656	p	NA	y
Robb Willer	Stanford University, USA	655	p	NA	n
Armin von Schiller	German Institute of Development and Sustainability, Germany	652	p	NA	n
Irene Menendez	IE University, Spain	652	p	NA	y
Luciana Cantera	Universidad de la República, Uruguay	652	p	NA	n
Santiago López-Cariboni	Universidad de la República, Uruguay	652	p	NA	y
Sarah Berens	University of Innsbruck, Austria	652	p	NA	n
Jeremias Nieminen	University of Turku, Finland	649	p	NA	y
Salla Simola	Storytel, Sweden	649	p	NA	n
Aysenur Dal	Bilkent University, Turkey	644	p	NA	n
Efe Tokdemir	Bilkent University, Turkey	644	p	NA	y
Seden Akcinaroglu	Binghamton University, USA	644	p	NA	y
Birgit Mitter	University of Salzburg, Austria	643	p	NA	y
Horacio Larreguy	ITAM, Mexico	642	p	NA	n
Galina Selivanova	University of Bonn, Germany	641	p	NA	y
Sophie Ruprecht	University of Bern, Institute of Political Science, Switzerland	640	p	NA	y
Enrique Jorge-Sotelo	Universitat de Barcelona, Spain	639	p	NA	n
Pau Vall-Prat	Universidad Carlos III de Madrid, Spain	639	p	NA	y
Catherine De Vries	Bocconi University, Italy	638	p	NA	y
Nicola Bariletto	Bocconi University, Italy	638	p	NA	n
Sara Luxmoore	Bocconi University, Italy	638	p	NA	n
Simone Cremaschi	Bocconi University, Italy	638	p	NA	n
Birgit Mitter	University of Salzburg, Austria	637	p	NA	y
Cagil Albayrak	University of Kansas, USA	636	p	NA	y
Chia-yi Lee	National Chengchi University, Taiwan	636	p	NA	y
Nazli Avdan	University of Kansas, USA	636	p	NA	y
Yasutaka Tominaga	Hoise University, Japan	636	p	NA	y
Jasper Jansen	Humboldt-Universität zu Berlin, Germany	635	p	NA	y
Tim Wappenhans	Humboldt-Universität zu Berlin, Germany	635	p	NA	y
Alexander De Juan	University of Osnabrück, Germany	630	p	NA	y
Felix Haaß	Oslo University, Norway	630	p	NA	n
Henry Thomson	Arizona State University, USA	630	p	NA	n
Bernard Grofman	University of California, Irvine, USA	63	p	NA	y
Jonathan Cervas	Carnegie-Mellon University, USA	63	p	NA	n
Daiki Kishishita	Tokyo University of Science, Japan	629	p	NA	n
Tomoko Matsumoto	Tokyo University of Science, Japan	629	p	NA	y
Greg Chih-Hsin Sheen	National Cheng Kung University, Taiwan	627	p	NA	y
Christopher Fariss	University of Michigan, USA	626	p	NA	y
Jonathan Markowitz	University of Southern California, USA	626	p	NA	y
Miriam Barnum	Purdue University, USA	626	p	NA	y
Philippe Joly	Free University of Berlin, Germany	622	p	NA	n
Alice Xu	Yale University, Leitner Program in Political Economy, USA	620	p	NA	y
Jessica Green	University of Toronto, Canada	615	p	NA	n
Alina Vranceanu	Universitat Pompeu Fabra, Spain	614	p	NA	y
Jeffrey Nonnemacher	University of Pittsburgh, USA	612	p	NA	y
Italo Colantone	Bocconi University, Italy	610	p	NA	n
Massimo Anelli	Bocconi University, Italy	610	p	NA	n
Paolo Agnolin	Bocconi University, Italy	610	p	NA	y
Piero Stanig	Bocconi University, Italy	610	p	NA	y
Carly Millerd	University of Iowa, USA	609	p	NA	n
Elise Pizzi	University of Iowa, USA	609	p	NA	n
Sara Mitchell	University of Iowa, USA	609	p	NA	y
Monica Ferrín	University of A Coruña, Spain	607	p	NA	n
Elizabeth Saunders	Georgetown University, USA	604	p	NA	y
Lea Heyne	Institute of Social Sciences, University of Lisbon, Portugal	603	p	NA	y
Rubén Ruiz-Rufino	King's College London, United Kingdom	603	p	NA	n
Chase LaSpisa	University of Iowa, USA	602	p	NA	y
Mathilde van Ditmars	University of Luzern, Switzerland	601	p	NA	n
Lea Heyne	Institute of Social Sciences, University of Lisbon, Portugal	599	p	NA	y
Lanabi La Lova	LSE, United Kingdom	598	p	NA	y
Vesna Popovski	LSE, United Kingdom	598	p	NA	n
Antoine Zerbini	LSE, United Kingdom	594	p	NA	y
Stephane Wolton	LSE, United Kingdom	594	p	NA	n
Anna Wilke	Washington University in St. Louis, USA	590	p	NA	n
Tinghua Yu	Birkbeck, University of London, United Kingdom	590	p	NA	y
Uchechi Anaduaka	University of Nigeria, Nsukka, Nigeria	590	p	NA	n
Antonin Mace	CNRS, Paris School of Economics and Ecole Normale Superieure-PSL, France	586	p	NA	y
Helios Herrera	University of Warwick & CEPR, United Kingdom	586	p	NA	n
Matias Nunez	REST, CNRS, Ecole Polytechnique, France	586	p	NA	n
Andy Harris	New York University Abu Dhabi, UAE	584	p	NA	y
Melina Platas	New York University Abu Dhabi, UAE	584	p	NA	n
Felipe Torres Raposo	University College London, United Kingdom	582	p	NA	y
Evelyne Hübscher	Central European University, Austria	579	p	NA	n
Martin Ardanaz	Inter-American Development Bank, Costa Rica	579	p	NA	n
Philip Keefer	Inter-American Development Bank, USA	579	p	NA	n
Thomas Sattler	University of Geneva, Switzerland	579	p	NA	y
Ana Carolina Garriga	University of Essex, United Kingdom	575	p	NA	y
David H. Bearce	Texas A&M Univeristy, USA	575	p	NA	y
Jochen Rehmert	University of Zurich, Switzerland	573	p	NA	y
Michael Jankowski	University of Oldenburg, Germany	573	p	NA	n
Camila N. Montero Trujillo	University of Innsbruck, Austria	572	p	NA	n
Corinna Kroeber	University of Greifswald, Germany	572	p	NA	n
Lena Stephan	University of Greifswald, Germany	572	p	NA	y
Sarah C. Dingler	University of Innsbruck, Austria	572	p	NA	y
Callum Craig	Trinity College Dublin, Ireland	571	p	NA	y
Omar Hammoud Gallego	The London School of Economics, United Kingdom	57	p	NA	y
Jorge Mangonnet	Nuffield College, Univesity of Oxford, United Kingdom	568	p	NA	y
Andreas Goldberg	Norwegian University of Science and Technology (NTNU), Norway	567	p	NA	y
Pirmin Bundi	University of Lausanne, Switzerland	567	p	NA	n
Edward Goldring	University of York, United Kingdom	566	p	NA	n
Fulya Apaydin	IBEI, Spain	566	p	NA	n
Jonas Willibald Schmid	University of Oslo, Norway	566	p	NA	y
Niklas Hänze	University of Konstanz, Germany	565	p	NA	y
Chiara Binelli	University of Bologna, Italy	563	p	NA	n
Matthew Loveless	University of Bologna, Italy	563	p	NA	y
David Weisstanner	Aarhus University, Denmark	561	p	NA	n
Goubin Silke	KU Leuven, Belgium	561	p	NA	n
Olivier Jacques	University of Montreal, Canada	561	p	NA	n
Staffan Kumlin	University of Oslo, Norway	561	p	NA	y
Johannes Lattmann	University of Mannheim, Germany	56	p	NA	n
Marc Debus	University of Mannheim, Germany	56	p	NA	n
Sarah Wagner	University of Mannheim, Germany	56	p	NA	y
Lisa van Dijk	KU Leuven, Belgium	559	p	NA	y
Alexander Baturo	Dublin City University, Ireland	558	p	NA	n
Roman-Gabriel Olar	Dublin City University, Ireland	558	p	NA	y
Jens Wäckerle	University of Cologne, Germany	553	p	NA	y
Tim Lars Allinger	Aarhus University, Denmark	552	p	NA	y
Jens Wäckerle	University of Cologne, Germany	551	p	NA	y
Hannah Rajski	University of Mannheim, Germany	550	p	NA	y
Filip Kostelka	European University Institute, Italy	549	p	NA	n
Or Tuttnauer	University of Mannheim, Germany	549	p	NA	n
Roi Zur	University of Essex, United Kingdom	549	p	NA	y
Simone Wegmann	University of Potsdam, Germany	549	p	NA	n
Daniel Bischof	Aarhus University, Denmark	548	p	NA	n
Thomas Kurer	University of Zurich, Switzerland	548	p	NA	n
Tim Lars Allinger	Aarhus University, Denmark	548	p	NA	y
Christoph Dworschak	University of York, United Kingdom	547	p	NA	n
Melanie Sauter	University of Oslo, Norway	547	p	NA	y
Sebastian Frowein	Leiden University, Netherlands	547	p	NA	n
Daniel Gingerich	University of Virginia, USA	54	p	NA	y
Jan Vogler	University of Konstanz, Germany	54	p	NA	y
Shaun Bowler	UC-Riverside, USA	539	p	NA	y
Yusuf Magiya	New York University Abu Dhabi, Turkey	536	p	NA	y
Dafni Kalatzi Pantera	University of Essex, United Kingdom	535	p	NA	y
Federica Genovese	University of Essex, United Kingdom	535	p	NA	n
Ekrem Baser	New York University Abu Dhabi, UAE	534	p	NA	n
Tanguy Le Fur	New York University Abu Dhabi, UAE	534	p	NA	y
Dafni Kalatzi Pantera	University of Essex, United Kingdom	531	p	NA	y
Christine Huebner	The University of Sheffield, United Kingdom	530	p	NA	y
Constanza Sanhueza Petrarca	Australian National University, Australia	530	p	NA	y
Edgar Cook	Duke University, USA	53	p	NA	n
Jan Vogler	University of Konstanz, Germany	53	p	NA	y
Seunghoon Chae	University of Oxford, United Kingdom	529	p	NA	y
Pavithra Suryanarayan	London School of Economics, United Kingdom	528	p	NA	y
Daniel Karell	Yale University, USA	526	p	NA	n
Ryan Barrett	Yale University, USA	526	p	NA	n
Fergus Green	University College London, United Kingdom	525	p	NA	n
Irina Ciornei	Barcelona Institute of International Studies, Spain	520	p	NA	y
Daniel Höhmann	University of Basel, Switzerland	519	p	NA	y
Denise Traber	University of Basel, Switzerland	519	p	NA	n
Johanna Yr Bjarnadottir	Humboldt-Universität zu Berlin, Germany	517	p	NA	y
Heiko Giebler	FU Berlin & WZB, Germany	514	p	NA	y
