author	affiliation	abstract_id
Sven-Oliver Proksch	University of Cologne, Germany. University of Cologne, Cologne Center for Comparative Politics, Germany	972
Sven-Oliver Proksch	University of Cologne, Germany. University of Cologne, Cologne Center for Comparative Politics, Germany	551
Tana Johnson	University of Wisconsin-Madison, USA. University of Wisconsin, USA	970
Tarik Abou-Chadi	University of Oxford, United Kingdom. Oxford University, United Kingdom	1280
Tarik Abou-Chadi	University of Oxford, United Kingdom. Oxford University, United Kingdom	1975
Tarik Abou-Chadi	University of Oxford, United Kingdom. Oxford University, United Kingdom	715
Tarik Abou-Chadi	University of Oxford, United Kingdom. Oxford University, United Kingdom	1594
Tarik Abou-Chadi	University of Oxford, United Kingdom. Oxford University, United Kingdom	1545
Theres Matthieß	University of Trier, Germany. University of Trier, Netherlands	1948
Theresa Gessler	European University Viadrina, Germany. Europa Universität Viadrina, Germany	1230
Theresa Gessler	European University Viadrina, Germany. Europa Universität Viadrina, Germany	1589
Theresa Gessler	European University Viadrina, Germany. Europa Universität Viadrina, Germany	339
Theresa Squatrito	London School of Economics and Political Science, United Kingdom. London School of Economics, United Kingdom	258
Theresa Squatrito	London School of Economics and Political Science, United Kingdom. London School of Economics, United Kingdom	1335
Thomas Bernauer	ETH Zurich, Switzerland. ETH-Zurich, Switzerland. ETH Zürich, Switzerland	1528
Thomas Bernauer	ETH Zurich, Switzerland. ETH-Zurich, Switzerland. ETH Zürich, Switzerland	1385
Thomas Bernauer	ETH Zurich, Switzerland. ETH-Zurich, Switzerland. ETH Zürich, Switzerland	954
Thomas Bernauer	ETH Zurich, Switzerland. ETH-Zurich, Switzerland. ETH Zürich, Switzerland	661
Thomas Bernauer	ETH Zurich, Switzerland. ETH-Zurich, Switzerland. ETH Zürich, Switzerland	1363
Thomas Hale	University of Oxford, United Kingdom. Oxford University, United Kingdom	615
Thomas Robinson	London School of Economics, United Kingdom. LSE, United Kingdom	1003
Thomas Robinson	London School of Economics, United Kingdom. LSE, United Kingdom	2042
Thomas Tichelbaecker	princeton university, USA. Princeton University, USA	1699
Thomas Tichelbaecker	princeton university, USA. Princeton University, USA	1487
Thomas Tichelbaecker	princeton university, USA. Princeton University, USA	1141
Tolga Sinmazdemir	SOAS, United Kingdom. School of Oriental and African Studies SOAS, United Kingdom	598
Tolga Sinmazdemir	SOAS, United Kingdom. School of Oriental and African Studies SOAS, United Kingdom	1512
Toni Rodon	Universitat Pompeu Fabra, Spain. Pompeu Fabra University, Spain	1013
Toni Rodon	Universitat Pompeu Fabra, Spain. Pompeu Fabra University, Spain	1359
Toni Rodon	Universitat Pompeu Fabra, Spain. Pompeu Fabra University, Spain	219
Toni Rodon	Universitat Pompeu Fabra, Spain. Pompeu Fabra University, Spain	695
Toni Rodon	Universitat Pompeu Fabra, Spain. Pompeu Fabra University, Spain	1129
Toni Rodon	Universitat Pompeu Fabra, Spain. Pompeu Fabra University, Spain	990
Toni Rodon	Universitat Pompeu Fabra, Spain. Pompeu Fabra University, Spain	873
Toni Rodon	Universitat Pompeu Fabra, Spain. Pompeu Fabra University, Spain	698
Valentina Consiglio	University of Zurich, Switzerland. University of Konstanz, Germany	1051
Valentina Consiglio	University of Zurich, Switzerland. University of Konstanz, Germany	976
Valerio Vignoli	University of Milan, Italy. Università degli Studi Milano, Italy	272
Valerio Vignoli	University of Milan, Italy. Università degli Studi Milano, Italy	801
Vally Koubi	ETH Zurich, Switzerland. ETH Zürich, Switzerland	1492
Vally Koubi	ETH Zurich, Switzerland. ETH Zürich, Switzerland	1469
Vally Koubi	ETH Zurich, Switzerland. ETH Zürich, Switzerland	1488
Vally Koubi	ETH Zurich, Switzerland. ETH Zürich, Switzerland	1227
Vered Porzycki	The Hebrew University of Jerusalem, Israel. The Hebrew University of jerusalem, Israel	282
Vered Porzycki	The Hebrew University of Jerusalem, Israel. The Hebrew University of jerusalem, Israel	110
Verena Reidinger	University of Zurich, Switzerland. Department of Political Science, University of Zurich, Switzerland	14
Verena Reidinger	University of Zurich, Switzerland. Department of Political Science, University of Zurich, Switzerland	17
Vicente Valentim	Nuffield College, University of Oxford, United Kingdom. University of Oxford, United Kingdom. University of Oxford (Nuffield College), United Kingdom	1067
Vicente Valentim	Nuffield College, University of Oxford, United Kingdom. University of Oxford, United Kingdom. University of Oxford (Nuffield College), United Kingdom	438
Vicente Valentim	Nuffield College, University of Oxford, United Kingdom. University of Oxford, United Kingdom. University of Oxford (Nuffield College), United Kingdom	423
Vicente Valentim	Nuffield College, University of Oxford, United Kingdom. University of Oxford, United Kingdom. University of Oxford (Nuffield College), United Kingdom	491
Vicente Valentim	Nuffield College, University of Oxford, United Kingdom. University of Oxford, United Kingdom. University of Oxford (Nuffield College), United Kingdom	867
Volha Charnysh	Massachusetts Institute of Technology, USA. MIT, USA	1035
Volha Charnysh	Massachusetts Institute of Technology, USA. MIT, USA	855
Zachary Dickson	London School of Economics, United Kingdom. London School of Economics and Political Science, United Kingdom	693
Øyvind Skorge	Oslo New University College, Norway. Oslo New University College,, Norway	1713
Antoine Zerbini	LSE, United Kingdom	594
Huiquan Zhang	University of Macau, Macao	165
Muzhou Zhang	University of Essex, United Kingdom	1138
Nan Zhang	University of Mannheim, Germany	1055
Congyi Zhou	Department of Politics, New York University, USA	277
Sebastian Ziaja	GESIS -- Leibniz Institute for the Social Sciences, Germany	1744
Jeffrey Ziegler	Trinity College Dublin, Ireland	876
Jan Zilinsky	Technical University of Munich, Germany	1647
Jan Zilinsky	Technical University of Munich, Germany	1526
Conrad Ziller	University of Duisburg-Essen, Germany	1373
Anthony Zito	Newcastle University, United Kingdom	774
Thomas Zittel	Goethe-University Frankfurt, Germany	831
Delia Zollinger	University of Zurich, Switzerland	429
Delia Zollinger	University of Zurich, Switzerland	776
Gregor Zons	University of Düsseldorf, Germany	1238
Radoslaw Zubek	University of Oxford, United Kingdom	392
Cesar Zucco	FGV, Brazil	1498
Paula Zuluaga	UAB, Spain	920
Paula Zuluaga	UAB, Spain	1658
Alina Zumbrunn	University of Bern, Switzerland	712
Roi Zur	University of Essex, United Kingdom	447
Roi Zur	University of Essex, United Kingdom	549
Roi Zur	University of Essex, United Kingdom	727
JungHwan Yang	University of Illinois at Urbana-Champaign, USA	1085
Qixuan Yang	Yale University, USA	2031
Yun Jung Yang	Waseda University, Japan	934
Mehmet Yavuz	Central European University, Austria	1347
Murat Yildrim	University of Stavanger, Norway	693
Nikoleta Yordanova	Leiden University, Netherlands	488
Nikoleta Yordanova	Leiden University, Netherlands	38
Nikoleta Yordanova	Leiden University, Netherlands	88
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Tinghua Yu	Birkbeck, University of London, United Kingdom	590
Giuseppe Zaccaria	University of Maastricht and European University Institute, Netherlands	260
Alexei Zakharov	Harris School of Public Policy, University of Chicago, USA	1003
Mehdi Zamani	Vrije Universiteit Amsterdam, Netherlands	771
Diego Zambiasi	Newcastle University, United Kingdom	377
Omer Zarpli	Bilkent University, Turkey	1581
Andrej Zaslove	Radboud, Netherlands	1009
Natascha Zaun	London School of Economics, United Kingdom	915
Elizabeth Zechmeister	Vanderbilt, USA	1009
Lisa Zehnter	Berlin Social Science Center (WZB), Germany	995
Can Zengin	Temple University, USA	124
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
David Willumsen	University of Innsbruck, Austria	748
David Willumsen	University of Innsbruck, Austria	754
Matthew Wilson	University of South Carolina, USA	1591
Jacob Winter	University of Toronto, Canada	1163
Valerie Wirtschafter	Brookings Institute, USA	1494
Stefan Wittwer	ETH Zürich, Switzerland	1596
Timo Wochner	ifo Institute and LMU Munich, Germany	355
Théoda Woeffray	University of Bern, Switzerland	1376
Josef Woldense	University of Minnesota, USA	1591
Stephane Wolton	LSE, United Kingdom	594
Eleanor Woodhouse	University College London, United Kingdom	473
Ruud Wouters	University of Antwerp, Belgium	1056
Julian Wucherpfennig	Hertie School, Germany	1464
Winnie Xia	University of Essex, United Kingdom	688
Alice Xu	Yale University, Leitner Program in Political Economy, USA	620
Jian Xu	National University of Singapore, Singapore	1387
Alon Yakter	Tel Aviv University, Israel	1002
Alon Yakter	Tel Aviv University, Israel	996
Huang-Ting Yan	Institute of Political Science, Academia Sinica, Taiwan	1168
Otlan Yana	UCL, United Kingdom	1701
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Chagai Weiss	Stanford University, USA	1541
David Weisstanner	Aarhus University, Denmark	561
Daniel Weitzel	Colorado State University, USA	836
Blair Welsh	University of Essex, United Kingdom	23
Hannah Werner	KU Leuven, Belgium	878
Jordy Weyns	European University Institute, Italy	1145
Guy Whitten	Texas A&M University, USA	1574
Guy Whitten	Texas A&M University, USA	1625
Guy Whitten	Texas A&M University, USA	1755
Michael Wicke	ETH Zürich, Switzerland	1596
Michael Wicki	ETH Zürich, Switzerland	311
Tobias Widmann	Aarhus University, Denmark	1080
Tobias Widmann	Aarhus University, Denmark	1084
Felix Wiebrecht	University of Gothenburg, Sweden	451
Felix Wiebrecht	University of Gothenburg, Sweden	424
Andreas Wiedemann	Princeton University, USA	1875
Andreas Wiedemann	Princeton University, USA	403
Theresa Wieland	Universität Konstanz, Germany	211
Nina Wiesehomeier	IE University, Spain	1775
Tore Wig	University of Oslo, Norway	1888
Anna Wilke	Washington University in St. Louis, USA	590
Robb Willer	Stanford University, USA	655
Laron Williams	University of Missouri, USA	848
Scott Williamson	Bocconi University, Italy	1607
Scott Williamson	Bocconi University, Italy	1684
Scott Williamson	Bocconi University, Italy	1687
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Chengli Wang	University of Macau, Macao	165
Suen Wang	Aalborg University, Denmark	1869
Tim Wappenhans	Humboldt-Universität zu Berlin, Germany	1127
Tim Wappenhans	Humboldt-Universität zu Berlin, Germany	635
Philip Warncke	UNC Chapel Hilll, USA	471
Mark E. Warren	University of British Columbia, Canada	1049
Fabio Wasserfallen	University of Bern, Switzerland	1376
Keith Waters	Arizona State University, USA	374
Annie Watson	Middle Georgia State University, USA	1668
Elke Weber	Princeton University, USA	719
Nina Weber	King's College London, United Kingdom	303
Ana Catalano Weeks	University of Bath, United Kingdom	1327
Mirko Wegemann	European University Institute, Italy	1010
Mirko Wegemann	European University Institute, Italy	729
Mirko Wegemann	European University Institute, Italy	1616
Simone Wegmann	University of Potsdam, Germany	549
Nadja Wehl	University of Konstanz, Germany	1072
Joachim Wehner	London School of Economics, United Kingdom	957
Malte Wehr	ETH Zürich, Switzerland	1596
Pei-Yu Wei	Duke University, USA	1123
Martin Weinrich	Osnabrück University, Germany	1730
Martin Weinrich	Osnabrück University, Germany	1822
Jeremy Weinstein	Stanford University, USA	1840
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Elsa Voytas	IE University, Spain	1076
Elsa Voytas	IE University, Spain	1841
Alina Vranceanu	Universitat Pompeu Fabra, Spain	614
Alina Vrânceanu	Universitat Pompeu Fabra, Spain	716
Julien Vrydagh	Vrije Universiteit Brussel, Belgium	1039
Henning Wachsmuth	Institute of Artificial Intelligence, Leibniz University Hannover, Germany	781
Jens Wäckerle	University of Cologne, Germany	553
Jens Wäckerle	University of Cologne, Germany	551
Manuel Wagner	University of Vienna, Austria	466
Markus Wagner	University of Vienna, Austria	1818
Markus Wagner	University of Vienna, Austria	715
Markus Wagner	University of Vienna, Austria	718
Patrick Wagner	University of Konstanz, Germany	1304
Sarah Wagner	University of Mannheim, Germany	56
Israel Waismel-Manor	University of Haifa, Israel	110
Nora Waitkus	Tilburg University, Netherlands	1250
Maxime Walder	University of Geneva, Switzerland	1453
Maxime Walder	University of Geneva, Switzerland	1485
André Walter	University of Zurich, Switzerland	1197
André Walter	University of Zurich, Switzerland	358
André Walter	University of Zurich, Switzerland	264
Annemarie Walter	University of Nottingham, United Kingdom	223
Stefanie Walter	University of Zurich, Switzerland	1280
Stefanie Walter	University of Zurich, Switzerland	1486
Stefanie Walter	University of Zurich, Switzerland	1022
Steffen Wamsler	Leibniz Institute for Educational Trajectories, Germany	927
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Fabian Bergmann	University of Konstanz, Germany	1610
Nicolai Berk	Dynamics RTG & Humboldt University Berlin, Germany	887
Elin Berlin	University of Maryland, USA	1983
Daniel Berliner	London School of Economics, United Kingdom	829
Luca Bernardi	University of Liverpool, United Kingdom	434
Patrick Bernhagen	University of Stuttgart, Germany	213
Rachel Bernhard	University of Oxford, United Kingdom	1892
Kattalina Berriochoa	University of Konstanz, Germany	919
Barbet Berta	Institut d'Estudis de l'Autogovern, Spain	1254
Eri Bertsou	University of St. Gallen, Switzerland. St Gallen, Switzerland. University of St.Gallen, Switzerland	1009
Eri Bertsou	University of St. Gallen, Switzerland. St Gallen, Switzerland. University of St.Gallen, Switzerland	878
Jan Berz	Trinity College Dublin, Ireland	1277
Yasemin Besen-Cassino	Montclair State University, USA	347
Tim Besley	London School of Economics, United Kingdom	672
Stefanie Beyens	Utrecht University, Netherlands	1407
Abhit Bhandari	Temple University, USA	449
Abhit Bhandari	Temple University, USA	380
Rikhil Bhavnani	University of Wisconsin-Madison, USA	202
Simon Bienstman	Goethe University Frankfurt, Germany	1330
Garret Binding	University of Zurich, Switzerland	456
Garret Binding	University of Zurich, Switzerland	1431
Garret Binding	University of Zurich, Switzerland	457
Chiara Binelli	University of Bologna, Italy	563
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Alexander Verdoes	University of Bergen, Norway	1711
Sanja Vico	University of Exeter, United Kingdom	1512
María Victoria-Mas	International University of La Rioja, Spain	1024
Andreas Videbæk Jensen	Aarhus University, Denmark	1374
Julian Vierlinger	European University Institute, Italy	1452
Paul Vierus	University of Duisburg-Essen, Germany	1887
Andrea Vik	Norwegian University of Science and Technology (NTNU), Norway	1222
Nick Vivyan	Durham University, United Kingdom	1722
Jan Vogler	University of Konstanz, Germany	53
Jan Vogler	University of Konstanz, Germany	51
Jan Vogler	University of Konstanz, Germany	54
Sonja Vogt	University of Lausanne, Switzerland	719
Teresa Völker	WZB Berlin Social Science Center, Germany	986
Teresa Völker	WZB Berlin Social Science Center, Germany	973
Elisa Volpi	Franklin University Switzerland, Switzerland	1189
Armin von Schiller	German Institute of Development and Sustainability, Germany	652
Nina von Uexkull	Uppsala University, Sweden	1469
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Jochem Vanagt	KU Leuven, Belgium	789
Jochem Vanagt	KU Leuven, Belgium	1151
Brenda Van Coppenolle	University of Essex, United Kingdom	1970
Elisa Van der Plas	University College London, United Kingdom	1194
Mariken van der Velden	Vrije Universiteit Amsterdam, Netherlands	1576
Peter Van der Windt	NYU Abu Dhabi, UAE	1035
Clara Vandeweerdt	University of Copenhagen, Denmark	1351
Clara Vandeweerdt	University of Copenhagen, Denmark	1281
Lisa van Dijk	KU Leuven, Belgium	559
Rozemarijn van Dijk	University of Antwerp, Belgium	352
Mathilde van Ditmars	University of Luzern, Switzerland	601
Arno Van Hootegem	University of Oslo, Norway	1612
Florian van Leeuwen	Tilburg University, Netherlands	368
Matia Vannoni	King's College London, United Kingdom	1321
Sam Van Noort	Princeton University, USA	1888
Briitta van Staalduinen	Leiden University, Netherlands	776
Mark van Vugt	Vrije Universiteit Amsterdam, Netherlands	368
Carlos Vargas-Silva	University of Oxford, United Kingdom	1353
Frédéric Varone	University of Geneva, Switzerland	863
Michael Vaughan	The London School of Economics and Political Science, United Kingdom	1499
Zdravko Veljanov	Central European University, Austria	1347
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Jake Truscott	University of Georgia, USA	212
Tsung-han Tsai	Academica Sinica, Taiwan	1009
Manos Tsakiris	Royal Holloway, United Kingdom	1611
Iván Tubío Sanlés	University of Oxford, United Kingdom	1913
Emma Turkenburg	KU Leuven, Belgium	772
Emma Turkenburg	KU Leuven, Belgium	1044
Stuart Turnbull-Dugarte	University of Southampton, United Kingdom	1510
Stuart Turnbull-Dugarte	University of Southampton, United Kingdom	1403
Stuart Turnbull-Dugarte	University of Southampton, United Kingdom	1242
Or Tuttnauer	University of Mannheim, Germany	549
Kimberly Twist	San Diego State University, USA	1749
Marianne Ulriksen	University of Southern Denmark, Denmark	1548
Natalia Umansky	University of Zurich, Switzerland	1778
Natalia Umansky	University of Zurich, Switzerland	790
Andrea Vaccaro	University of Oxford, United Kingdom	872
António Valentim	Yale University, USA	657
António Valentim	Yale University, USA	659
António Valentim	Yale University, USA	933
Viktor Valgardsson	Univer, United Kingdom	1264
Pau Vall-Prat	Universidad Carlos III de Madrid, Spain	639
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Christina Toenshoff	Stanford University, USA	1864
Efe Tokdemir	Bilkent University, Turkey	304
Efe Tokdemir	Bilkent University, Turkey	644
Jakob Tolstrup	Aarhus University, Denmark	1101
Jakob Tolstrup	Aarhus University, Denmark	711
Damjan Tomic	Autonomous University of Barcelona, Spain	999
Yasutaka Tominaga	Hoise University, Japan	636
Guillermo Toral	IE University, Spain	696
Mariano Torcal	Universitat Pompeu Fabra, Spain	716
Mariano Torcal	Universitat Pompeu Fabra, Spain	1754
Queralt Tornafoch Chirveches	University of Southern Denmark, Denmark	10
Queralt Tornafoch-Chirveches	University of Southern Denmark, Denmark	1323
Felipe Torres Raposo	University College London, United Kingdom	582
Denise Traber	University of Basel, Switzerland	519
Oliver Treib	Münster University, Germany	1222
Philipp Trein	University of Lausanne, Switzerland	863
Vasiliki Triga	Cyprus University of Technology, Cyprus	1967
Vera Troeger	University of Hamburg, Germany	1530
Mathias W. Tromborg	Aarhus University, Denmark	667
Alexander Trubowitz	Yale University, USA	919
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Peter Thisted Dinesen	University of Copenhagen, Denmark	1351
Andreina Thoma	University of St. Gallen, Switzerland	1197
Henry Thomson	Arizona State University, USA	630
Robert Thomson	Monash University, Australia	2040
Matilde Thorsen	Aarhus University, Denmark	1570
Matilde Tofte Thorsen	Aarhus University, Denmark	1685
Svanhildur Thorvaldsdottir	University of Iceland, Iceland	2047
Svanhildur Thorvaldsdottir	University of Iceland, Iceland	1659
Calvin Thrall	Princeton University, USA	829
James Tilley	University of Oxford, United Kingdom	782
James Tilley	University of Oxford, United Kingdom	50
James Tilley	University of Oxford, United Kingdom	239
James Tilley	University of Oxford, United Kingdom	1317
Wang Leung Ting	University of Reading, United Kingdom	1515
Dustin Tingley	Harvard, USA	722
Alejandro Tirado	UC3M, Spain	920
Alejandro Tirado Castro	University Carlos III of Madrid, Spain	333
Rocio Titiunik	Princeton University, USA	1893
Tobias Tober	University of Konstanz, Germany	1116
Rommel Tobias	Technical University of Munich, Germany	2005
Lara Todorova	Donders Institute at Radboud University, Netherlands	1194
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Milan Svolik	Yale University, USA	1068
Tilko Swalve	Leibniz University Hannover, Germany	1440
Christine Sylvester	University of Strathclyde, United Kingdom	488
Christine Sylvester	University of Strathclyde, United Kingdom	489
Ekaterina Sylvester	University of Rhode Island, USA	328
Stylianos Syropoulos	Boston College, USA	97
David Szakonyi	George Washington University, USA	1571
David Szakonyi	George Washington University, USA	1193
Liisa Talving	University of Tartu, Estonia	697
Margit Tavits	Washington University in St. Louis, USA	393
Dawn Teele	Johns Hopkins University, USA	1657
Mariia Tepliakova	Paris Lodron Universität Salzburg, Austria	997
Mariia Tepliakova	Paris Lodron Universität Salzburg, Austria	998
Katerina Tertytchnaya	UCL, United Kingdom	1179
Yannis Theocharis	Technical University of Munich, Germany	1526
Konstantinos Theocharopoulos	University of Siegen, Germany	787
Alexander Theodoridis	University of Massachusetts Amherst, USA	1749
Gunnar Thesen	University of Stavanger, Norway	1566
Stefan Thierse	University of Bremen, Germany	1238
Cameron G. Thies	Michigan State University, USA	374
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Øyvind Stiansen	University of Oslo, Norway	1180
Øyvind Stiansen	University of Oslo, Norway	448
Øyvind Stiansen	University of Oslo, Norway	926
Sebastian Stier	GESIS, Germany	1802
Simon Stocker	University of Stuttgart, Germany	988
Florian Stoeckel	University of Exeter, United Kingdom	726
Lukas F. Stoetzer	Universität Witten/Herdecke, Germany	882
Gerry Stoker	University of Southampton, United Kingdom	1264
Nik Stoop	Antwerp University, Belgium	1035
Michael A. Strebel	University of Lausanne, Switzerland	892
Christian Strippel	Weizenbaum Institut, Germany	1343
Anne-Kathrin Stroppe	GESIS - Leibniz Insitute for the Social Sciences, Germany	1381
Jan Stuckatz	Copenhagen Business School, Denmark	428
Patrick Sturgis	LSE, United Kingdom	752
Sophie Suda	University of Greifswald, Germany	1020
Jun Sudduth	University of Strathclyde, United Kingdom	1846
Raanan Sulitzeanu-Kenan	Hebrew University, Israel	1809
Osman Suntay	Goethe University Frankfurt, Germany	2035
Pavithra Suryanarayan	London School of Economics, United Kingdom	528
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Judith Spirig	University College London, United Kingdom	456
Jae-Jae Spoon	University of Pittsburgh, USA	657
Jae-Jae Spoon	University of Pittsburgh, USA	849
Simonas Spurga	Vilnius University, Lithuania	1845
Isabelle Stadelmann-Steffen	Uni Bern, Switzerland	1186
Piero Stanig	Bocconi University, Italy	610
Ben Stanley	SWPS, Poland	1009
Peter Starke	University of Southern Denmark, Denmark	1323
Christine Stedtnitz	LSE, United Kingdom	1783
Carie Anne Steele	Northern Arizona University, USA	217
Marco Steenbergen	University of Zurich, Switzerland	988
Marco Steenbergen	University of Zurich, Switzerland	1431
Mary Stegmaier	University of Missouri, USA	1595
Daniel Stegmueller	Duke University, USA	1267
Daniel Stegmueller	Duke University, USA	1938
Martin Steinwand	University of Essex, United Kingdom	751
Matthew Stenberg	University of California, Berkeley, USA	1100
Lena Stephan	University of Greifswald, Germany	572
Maj-Britt Sterba	University of Konstanz, Germany	1104
Megan Stewart	University of Michigan, USA	1133
OEyvind Stiansen	University of Oslo, Norway	1439
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Alastair Smith	New York University, USA	24
Daniel Smith	Columbia University, USA	1657
Daniel A. Smith	University of Florida, USA	276
E.Keith Smith	ETH Zurich, Switzerland	661
E. Keith Smith	ETH Zürich, Switzerland	1528
Jessica Smith	University of Edinburgh, United Kingdom	1629
Keith Smith	ETH-Zurich, Switzerland	1363
James Snyder	Harvard University, USA	1160
Florence So	Lund University, Sweden	1987
Florence So	Lund University, Sweden	1986
Maria Sobolewska	University of Manchester, United Kingdom	1331
Marie-Lou Sohnius	Nuffield College, University of Oxford, United Kingdom	1854
Manuel Sola	European University Institute, Italy	824
Zeynep Somer-Topcu	University of Texas at Austin, USA	1169
Zeynep Somer-Topcu	University of Texas at Austin, USA	1766
Thomas Sommerer	University of Potsdam, Germany	258
Kim Sønderskov	Aarhus University, Denmark	900
Kim Sønderskov	Aarhus University, Denmark	1281
Miriam Sorace	University of Kent, United Kingdom	915
Miriam Sorace	University of Kent, United Kingdom	909
Miriam Sorace	University of Kent, United Kingdom	964
Pilar Sorribas-Navarro	Universitat de Barcelona, Spain	1187
Martin Søyland	University of Oslo, Norway	176
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Alexandra Siegel	University of Colorado-Bounder, USA	1541
Madeleine Siegel	DeZIM-Institut, Germany	1036
Richard Sigurdson	University of Calgary, Canada	35
Allan Sikk	University College London, United Kingdom	1058
Allan Sikk	University College London, United Kingdom	1473
Goubin Silke	KU Leuven, Belgium	561
Salla Simola	Storytel, Sweden	649
Elizabeth Simon	Queen Mary University, United Kingdom	1510
Kristina Bakkær Simonsen	Aarhus University, Denmark	1080
Kristina Bakkær Simonsen	Aarhus University, Denmark	1084
Matthew Singer	University of Connecticut, USA	410
Matthew Singer	University of Connecticut, USA	1599
Matthew Singer	University of Connecticut, USA	1775
Renu Singh	Bocconi University, Italy	851
Renu Singh	Bocconi University, Italy	852
Svend-Erik Skaaning	Aarhus University, Denmark	1570
Svend-Erik Skaaning	Aarhus University, Denmark	485
Svend-Erik Skaaning	Aarhus University, Denmark	196
Kristian Vrede Skaaning Frederiksen	Aarhus University, Denmark	1524
Gabriella Skitalinska	CRC 1342, University of Bremen, Germany	781
Øyvind Søraas Skorge	Oslo New University College, Norway	1703
Jon Slapin	University of Zurich, Switzerland	14
Kaat Smets	Royal Holloway, University of London, United Kingdom	417
Kaat Smets	Royal Holloway, University of London, United Kingdom	418
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Bernd Beber	RWI - Leibniz Institute for Economic Research, Germany	1342
Michael Becher	IE University, Spain	1267
Michael Becher	IE University, Spain	1938
Michael Bechtel	University of Cologne, Germany	869
Michael Bechtel	University of Cologne, Germany	876
Bastian Becker	Humboldt University Berlin, Germany	1250
Megan Becker	University of Southern California, USA	1094
Johanna Beddig	University of Oxford, United Kingdom	867
Janina Beiser-McGrath	Royal Holloway, University of London, United Kingdom	1628
Ayjeren Bekmuratovna	University of Passau, Germany	1087
Paolo Belardinelli	Indiana University, USA	473
Luna Bellani	Universität Konstanz, Germany	211
Jana Belschner	University of Bergen, Norway	902
Jana Belschner	University of Bergen, Norway	898
Viktor Bengs	LMU Munich, Computer Science, Germany	1551
Brett Benson	Vanderbilt University, USA	1781
Lindsay Benstead	Portland State University, USA	1953
Pablo Beramendi	Duke University, USA	1299
Sarah Berens	University of Innsbruck, Austria	652
Valentin Berger	University of Bamberg, Germany	1901
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Daniel Shaw	University of Glasgow, United Kingdom	104
Patrick Shea	University of Glasgow, United Kingdom	475
Geoffrey Sheagley	University of Georgia, USA	1749
Greg Chih-Hsin Sheen	National Cheng Kung University, Taiwan	627
Lior Sheffer	Tel Aviv University, Israel	1537
Shaul Shenhav	The Hebrew University of Jerusalem, Israel	110
Mark Shephard	University of Strathclyde, United Kingdom	693
Mark Shephard	University of Strathclyde, United Kingdom	806
Sujeong Shim	NYU Abu Dhabi, UAE	2006
Enrijeta Shino	University of Alabama, USA	276
Mary Shiraef	University of Notre Dame, USA	425
Ramin Shirali	European University Institute, Sweden	1236
Yael Shomer	Tel Aviv University, Israel	996
Rosalind Shorrocks	University of Manchester), United Kingdom	2043
Allyson Shortle	University of Oklahoma, USA	1023
Ken Shotts	Stanford GSB, USA	1782
Christian Siauwijaya	University of Glasgow, United Kingdom	259
Katrijn Siderius	Goethe University Frankfurt, Germany	203
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Vanessa Schwaiger	University of Stuttgart, Germany	1039
Cassilde Schwartz	Royal Holloway, University of London, United Kingdom	1916
Frank Schweitzer	ETH Zurich, Switzerland	1718
Ralph Scott	Cardiff University, United Kingdom	1311
